ALIAS;CRUCE;SENTIDO;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;
01-01-2025PM001-0-01;Av. 10 de Agosto y Av. de America;NORTE-SUR;194;363;315;161;96;72;193;265;251;253;305;458;459;541;511;489;511;473;440;420;287;223;150;106;
01-01-2025PM001-0-04;Av. 10 de Agosto y Av. de America;OCCIDENTE-ORIENTE;121;259;219;101;56;57;123;159;160;105;134;242;97;3;220;232;1;302;288;273;225;139;114;57;
01-01-2025PM001-0-07;Av. 10 de Agosto y Av. de America;SUR-NORTE;113;196;177;110;74;64;124;182;139;143;205;240;258;292;289;251;288;304;306;265;200;131;123;80;
01-01-2025PM001-0-08;Av. 10 de Agosto y Av. de America;GIRO DERECHA SUR-NORTE;99;196;171;95;54;42;67;71;119;121;143;192;294;349;311;360;372;345;304;305;230;140;96;57;
01-01-2025PM003-0-011;Av. 10 de Agosto y Falconi;NORTE-SUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01-01-2025PM003-0-012;Av. 10 de Agosto y Falconi;NORTE-SUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01-01-2025PM003-0-012C;Av. 10 de Agosto y Falconi;NORTE-SUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01-01-2025PM003-0-04;Av. 10 de Agosto y Falconi;OCCIDENTE-ORIENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01-01-2025PM003-0-071;Av. 10 de Agosto y Falconi;SUR-NORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01-01-2025PM003-0-072;Av. 10 de Agosto y Falconi;SUR-NORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
